#%		No tun			Min tun Muller/MacDo	Age model deMenocal
#%m	%terr	age	sr	flux	age	sr	flux 	age	sr	flux
24.35	21.89	781.2	3.12	0.72	637.90	4.08	0.94	642.93	7.09	1.63
24.4	23.90	782.8	3.12	0.78	639.12	4.08	1.02	643.64	7.09	1.78
24.45	26.92	784.4	3.12	0.88	640.35	4.07	1.15	644.34	7.09	2.00
24.5	26.41	786.0	3.12	0.86	641.58	4.07	1.13	645.05	7.04	1.95
24.55	24.91	787.6	3.12	0.82	642.81	4.07	1.06	645.76	7.09	1.85
24.6	23.90	789.2	3.12	0.78	644.04	4.08	1.02	646.46	7.09	1.78
24.65	23.90	790.8	3.12	0.78	645.26	4.08	1.02	647.17	7.09	1.78
24.7	25.41	792.4	3.12	0.83	646.49	4.07	1.08	647.87	7.09	1.89
24.75	26.92	794.0	3.12	0.88	647.72	4.07	1.15	648.58	7.09	2.00
24.8	26.92	795.6	3.12	0.88	648.95	4.08	1.15	649.28	7.09	2.00
24.85	29.43	797.2	3.12	0.96	650.17	4.08	1.26	649.99	7.09	2.19
24.9	30.44	798.8	3.12	1.00	651.40	4.07	1.30	650.69	7.09	2.27
